num_links,num_words,has_offer,sender_score,all_caps,is_spam
3,98,1,0.718607,0,0
0,170,0,0.698901226,1,0
0,38,0,0.620465534,0,0
0,116,0,0.701754512,0,0
3,89,1,0.58362119,1,1
2,197,0,0.466200994,0,0
0,166,1,1,0,0
0,113,0,0.600812571,0,0
1,169,0,0.753108335,0,0
1,150,1,1,0,0
1,143,1,0.617260554,0,0
1,152,0,0.792039853,0,0
2,86,1,1,1,0
2,58,1,0.370008822,0,1
1,175,1,0.966764487,0,0
0,148,0,0.744424832,0,0
4,169,1,0.598964028,1,1
2,128,1,0.709695612,0,0
1,192,1,0.627632759,0,0
2,70,0,1,0,0
1,122,0,0.696797888,0,0
1,100,1,0.839564164,0,0
6,125,0,0.594218976,1,1
0,70,1,0.758474217,0,0
0,47,1,0.623438598,0,0
1,49,1,0.416016343,0,0
2,27,0,0.961681573,0,0
1,60,0,0.769624817,0,0
0,172,0,0.854244969,0,0
1,78,0,0.55431615,0,0
2,53,0,0.9369427,0,0
0,186,0,0.793566594,0,0
4,90,0,0.730046415,1,1
1,135,1,0.905854096,0,0
2,193,0,0.634150265,0,0
0,57,0,0.95894639,0,0
1,128,0,0.567549579,0,0
3,180,0,0.706654816,0,0
0,136,0,0.512699975,0,0
4,41,0,0.470356471,0,0
2,174,0,0.606847848,0,0
0,174,0,0.667822342,0,0
0,40,1,0.81035557,0,0
1,182,0,0.571390284,1,0
2,66,1,0.817381591,1,0
2,69,1,0.636010321,0,0
0,138,1,0.601185951,0,0
1,157,0,0.825888388,0,0
5,130,0,0.59111238,0,0
4,47,1,1,0,0
0,56,0,0.786466383,0,0
1,188,0,0.426480682,0,0
2,70,0,0.676161709,0,0
1,27,0,0.570557629,0,0
0,133,0,0.371741271,0,0
0,180,1,0.911576037,0,0
2,38,0,0.916180306,1,0
2,49,0,0.555047102,0,0
3,161,0,0.842124499,0,0
1,55,0,0.875393345,0,0
0,154,0,0.697470946,0,0
2,135,0,0.890456052,0,0
2,126,0,0.758902653,1,0
0,53,0,0.929088784,0,0
2,197,0,0.465505642,0,0
2,51,0,0.729593696,0,0
2,61,0,0.740306388,0,0
2,180,1,0.468702484,0,0
2,138,0,0.487830135,0,0
0,33,0,0.383189955,0,0
2,175,1,0.709040584,0,0
1,133,0,0.611931305,0,0
1,186,0,0.441847076,0,0
3,113,1,0.943451747,0,1
1,50,0,0.780060643,0,0
2,171,1,0.555090135,0,0
3,151,0,0.740648392,0,0
1,28,1,0.652403451,0,0
3,119,0,0.387522828,0,0
3,89,1,0.754772952,0,1
2,43,1,1,1,1
0,117,0,0.98240147,0,0
2,84,0,0.720676498,0,0
0,164,0,0.612801875,1,0
